"Cycle","Phase","Timestamp","CpuSeconds","WorkingSetMB","PrivateMB"
"1","before-open","17:41:23.167","0.59","91.2","62.9"
"1","overlay-open","17:41:24.039","0.86","105.6","87.5"
"1","after-idle","17:41:29.047","1.23","107.9","87.9"
"1","after-close","17:41:30.267","1.25","107.9","87.9"
